site_id,address,lat,lng,roof_area_sqm,roof_material,floors,people,state,city,monthly_bill,storage_pref,building_type,status,verification_status,fraud_flags,installer_id,assessment_date,capture_annual_liters,tank_capacity_liters,total_cost_inr
SITE-V001,15 Janpath Road,28.6139,77.2090,150,concrete,2,5,Delhi,New Delhi,850,tank,residential,completed,verified,,INS-001,2025-08-15,89250,5000,42000
SITE-V002,22 MG Road Sector 5,28.4595,77.0266,220,metal,3,8,Delhi,Gurugram,1200,tank,commercial,completed,verified,,INS-002,2025-09-01,130900,10000,68000
SITE-V003,Government School Block A,28.7041,77.1025,500,concrete,2,100,Delhi,New Delhi,5000,hybrid,government,completed,verified,,INS-001,2025-07-20,297500,20000,125000
SITE-V004,Rajiv Nagar House 12,28.6280,77.2197,100,tiles,1,4,Delhi,New Delhi,600,tank,residential,completed,verified,,INS-001,2025-10-10,51000,3000,28000
SITE-V005,Industrial Estate Unit 7,28.4089,77.3178,800,metal,1,20,Delhi,Faridabad,3500,recharge,industrial,completed,verified,,INS-002,2025-06-15,408000,30000,185000
SITE-V006,Apollo Hospital Annex,19.0760,72.8777,1200,concrete,5,200,Maharashtra,Mumbai,15000,hybrid,commercial,completed,verified,,INS-003,2025-08-25,734400,50000,320000
SITE-V007,Housing Society A-Block,19.0176,72.8302,350,concrete,4,60,Maharashtra,Mumbai,4500,tank,residential,completed,verified,,INS-003,2025-09-12,214200,15000,95000
SITE-V008,Municipal Office Thane,19.2183,72.9781,280,tiles,2,30,Maharashtra,Thane,2800,tank,government,completed,verified,,INS-003,2025-07-08,171360,10000,72000
SITE-V009,Tech Park Building 3,12.9716,77.5946,650,metal,3,150,Karnataka,Bangalore,8500,hybrid,commercial,completed,verified,,INS-004,2025-10-01,429000,25000,145000
SITE-V010,Residential Villa JP Nagar,12.9081,77.5824,180,tiles,2,6,Karnataka,Bangalore,950,tank,residential,completed,verified,,INS-004,2025-08-18,118800,8000,52000
SITE-P011,IT Park Electronic City,12.8456,77.6603,1500,metal,4,300,Karnataka,Bangalore,22000,hybrid,commercial,in_progress,pending,,INS-004,2026-01-15,990000,50000,285000
SITE-P012,Government Hospital Wing C,12.9352,77.5389,750,concrete,3,150,Karnataka,Bangalore,9000,hybrid,government,in_progress,pending,,INS-004,2026-01-20,495000,30000,165000
SITE-P013,Apartment Complex Tower B,13.0827,80.2707,400,concrete,8,120,Tamil Nadu,Chennai,6000,tank,residential,in_progress,pending,,INS-006,2026-01-18,228000,15000,98000
SITE-P014,School Campus Main,13.0569,80.2425,550,tiles,2,200,Tamil Nadu,Chennai,4200,hybrid,government,in_progress,pending,,INS-006,2026-01-25,313500,20000,125000
