site_id,address,lat,lng,roof_area_sqm,roof_material,floors,people,state,city,monthly_bill,storage_pref,building_type
SITE-001,123 Gandhi Road,28.6139,77.2090,150,concrete,2,5,Delhi,New Delhi,850,tank,residential
SITE-002,45 MG Road Sector 5,28.4595,77.0266,220,metal,3,8,Delhi,Gurugram,1200,tank,commercial
SITE-003,Government School Block A,28.7041,77.1025,500,concrete,2,100,Delhi,New Delhi,5000,hybrid,government
SITE-004,Rajiv Nagar Colony House 12,28.6280,77.2197,100,tiles,1,4,Delhi,New Delhi,600,tank,residential
SITE-005,Industrial Estate Unit 7,28.4089,77.3178,800,metal,1,20,Delhi,Faridabad,3500,recharge,industrial
SITE-006,Apollo Hospital Annex,19.0760,72.8777,1200,concrete,5,200,Maharashtra,Mumbai,15000,hybrid,commercial
SITE-007,Housing Society A-Block,19.0176,72.8302,350,concrete,4,60,Maharashtra,Mumbai,4500,tank,residential
SITE-008,Municipal Office Thane,19.2183,72.9781,280,tiles,2,30,Maharashtra,Thane,2800,tank,government
SITE-009,Tech Park Building 3,12.9716,77.5946,650,metal,3,150,Karnataka,Bangalore,8500,hybrid,commercial
SITE-010,Residential Villa JP Nagar,12.9081,77.5824,180,tiles,2,6,Karnataka,Bangalore,950,tank,residential
SITE-011,IT Park Electronic City,12.8456,77.6603,1500,metal,4,300,Karnataka,Bangalore,22000,hybrid,commercial
SITE-012,Government Hospital Wing C,12.9352,77.5389,750,concrete,3,150,Karnataka,Bangalore,9000,hybrid,government
SITE-013,Apartment Complex Tower B,13.0827,80.2707,400,concrete,8,120,Tamil Nadu,Chennai,6000,tank,residential
SITE-014,School Campus Main Building,13.0569,80.2425,550,tiles,2,200,Tamil Nadu,Chennai,4200,hybrid,government
SITE-015,Manufacturing Unit 4,13.0878,80.1521,2000,metal,1,50,Tamil Nadu,Chennai,12000,recharge,industrial
SITE-016,Heritage Hotel Annexe,22.5726,88.3639,320,tiles,3,80,West Bengal,Kolkata,5500,tank,commercial
SITE-017,University Campus Block D,22.5448,88.3426,800,concrete,4,300,West Bengal,Kolkata,8000,hybrid,government
SITE-018,Residential Colony Plot 23,17.3850,78.4867,120,concrete,2,5,Telangana,Hyderabad,720,tank,residential
SITE-019,Software Park Tower A,17.4300,78.4512,900,metal,6,200,Telangana,Hyderabad,14000,hybrid,commercial
SITE-020,Municipal School Secunderabad,17.4399,78.4983,350,tiles,2,150,Telangana,Hyderabad,3200,tank,government
SITE-021,Warehouse District 5,28.5355,77.3910,1200,metal,1,15,Delhi,Noida,4500,recharge,industrial
SITE-022,Shopping Mall Level 1,28.5672,77.3211,2500,concrete,4,500,Delhi,Noida,35000,hybrid,commercial
SITE-023,Village Panchayat Office,28.8955,77.0953,180,tiles,1,20,Delhi,Sonipat,1200,tank,government
SITE-024,Farm House Plot 7,28.7894,77.1278,250,metal,1,8,Delhi,New Delhi,800,recharge,residential
SITE-025,Temple Complex,19.0821,72.8861,450,tiles,2,50,Maharashtra,Mumbai,3000,tank,residential
SITE-026,Railway Station Building,19.1756,72.9510,1800,metal,2,1000,Maharashtra,Mumbai,45000,hybrid,government
SITE-027,College Main Block,18.5204,73.8567,600,concrete,3,400,Maharashtra,Pune,7500,hybrid,government
SITE-028,Society Club House,18.5074,73.8077,200,tiles,2,100,Maharashtra,Pune,2200,tank,residential
SITE-029,Manufacturing Plant A,18.6298,73.7997,3000,metal,1,80,Maharashtra,Pune,18000,recharge,industrial
SITE-030,Startup Hub Floor 2,12.9141,77.6369,350,concrete,3,60,Karnataka,Bangalore,5500,tank,commercial
SITE-031,Lake View Apartments,12.9810,77.5996,280,concrete,6,90,Karnataka,Bangalore,4800,tank,residential
SITE-032,Fire Station,12.9698,77.7500,220,metal,1,25,Karnataka,Bangalore,2000,tank,government
SITE-033,Convention Center,12.9263,77.6762,4000,concrete,2,800,Karnataka,Bangalore,55000,hybrid,commercial
SITE-034,Tea Garden Bungalow,11.4102,76.6950,300,tiles,2,12,Tamil Nadu,Ooty,1800,tank,residential
SITE-035,Hill Station Hotel,11.4025,76.6877,500,tiles,3,100,Tamil Nadu,Ooty,8000,tank,commercial
SITE-036,Forest Office,11.3410,76.7837,150,tiles,1,10,Tamil Nadu,Nilgiris,900,tank,government
SITE-037,Beach Resort Main,10.7867,79.1378,800,tiles,2,150,Tamil Nadu,Nagapattinam,12000,hybrid,commercial
SITE-038,Fishing Cooperative,10.9198,79.8384,200,metal,1,30,Tamil Nadu,Cuddalore,1500,tank,commercial
